764002,"Diane","Kruger"
764004,"Tobey","Maguire"
764005,"Holly","Hunter"
764006,"Robert","De Niro"
764007,"Nona","Gaye"
764008,"Ron","Perlman"
764009,"Adam","Sandler"
764011,"Bryce","Howard"
764012,"Adrien","Brody"
764013,"William","Hurt"
764014,"Sigourney","Weaver"
764015,"Brendan","Gleeson"
764016,"Micheal","Pitt"
764017,"John","Hurt"
764018,"Selma","Blair"
764019,"Jeffery","Tambor"
764020,"David","Pierce"
788001,"Meg","Ryan"
788011,"Kate","Hudson"
855101,"Chris","Tucker"
855102,"Bruce","Willis"
855103,"Jennifer","Lopez"
855104,"Richard","Gere"
855106,"Brad","Pitt"
855107,"Catherine","Zeta-Jones"
855108,"George","Clooney"
855109,"Johnny","Depp"
855111,"Christina","Ricci"
872003,"Ben","Stiller"
872004,"Vince","Vaughn"
872005,"Snoop","Dogg"
872006,"Denzel","Washington"
872007,"Christopher","Walken"
872009,"Tom","Cruise"
872010,"Jamie","Fox"
872011,"Kerry","Washington"
907001,"Tony","Shalhoub"
907002,"Steve","Coogan"
907003,"Keir","Dullea"
907004,"Malcolm","McDowell"
907005,"Kurt","Russell"
907006,"Hilary","Swank"
907008,"Timothy","Spall"
907009,"Tara","Subkoff"
